Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Survived
3,female,45,1,4,347088,27.9,-1,S,0
1,male,-1,0,0,PC 17318,25.925,-1,S,0
3,male,28,0,0,1601,56.4958,-1,S,0
1,male,61,0,0,111240,33.5,B19,S,0
3,male,4,4,1,382652,29.125,-1,Q,0
3,female,1,1,1,347742,11.1333,-1,S,1
3,male,21,0,0,STON/O 2. 3101280,7.925,-1,S,0
1,male,56,0,0,17764,30.6958,A7,C,0
3,male,18,1,1,350404,7.8542,-1,S,0
3,male,-1,3,1,4133,25.4667,-1,S,0
1,female,50,0,0,PC 17595,28.7125,C49,C,0
2,male,30,0,0,250653,13,-1,S,0
3,female,-1,8,2,CA. 2343,69.55,-1,S,0
2,male,-1,0,0,SC/PARIS 2131,15.05,-1,C,0
3,male,9,4,2,347077,31.3875,-1,S,0
2,male,1,2,1,230136,39,F4,S,1
3,female,4,0,2,315153,22.025,-1,S,1
1,male,-1,0,0,113767,50,A32,S,0
3,female,-1,1,0,370365,15.5,-1,Q,1
1,male,45,0,0,111428,26.55,-1,S,1
3,male,40,1,1,364849,15.5,-1,Q,0
3,male,36,0,0,349247,7.8958,-1,S,0
2,female,32,0,0,234604,13,-1,S,1
2,male,19,0,0,28424,13,-1,S,0
3,female,19,1,0,350046,7.8542,-1,S,1
2,male,3,1,1,230080,26,F2,S,1
1,female,44,0,0,PC 17610,27.7208,B4,C,1
1,female,58,0,0,PC 17569,146.5208,B80,C,1
3,male,-1,0,0,368703,7.75,-1,Q,0
3,male,42,0,1,4579,8.4042,-1,S,0
3,female,-1,0,0,370370,7.75,-1,Q,1
2,female,24,0,0,248747,13,-1,S,0
3,male,28,0,0,345770,9.5,-1,S,0
3,male,-1,8,2,CA. 2343,69.55,-1,S,0
3,male,34,0,0,3101264,6.4958,-1,S,0
3,male,45.5,0,0,2628,7.225,-1,C,0
3,male,18,0,0,A/5 3540,8.05,-1,S,1
3,female,2,0,1,347054,10.4625,G6,S,0
3,male,32,1,0,3101278,15.85,-1,S,0
3,male,26,0,0,2699,18.7875,-1,C,1
3,female,16,0,0,367231,7.75,-1,Q,1
1,male,40,0,0,112277,31,A31,C,1
3,male,24,0,0,SOTON/O.Q. 3101311,7.05,-1,S,0
2,female,35,0,0,F.C.C. 13528,21,-1,S,1
3,male,22,0,0,A/5 21174,7.25,-1,S,0
2,male,30,0,0,250646,13,-1,S,0
3,male,-1,1,0,367229,7.75,-1,Q,0
1,female,31,1,0,35273,113.275,D36,C,1
3,female,27,0,0,STON/O2. 3101283,7.925,-1,S,1
2,male,42,1,0,243847,27,-1,S,0
1,female,32,0,0,11813,76.2917,D15,C,1
2,male,30,0,0,W/C 14208,10.5,-1,S,0
3,male,16,0,0,SOTON/OQ 392089,8.05,-1,S,1
2,male,27,0,0,220367,13,-1,S,0
3,male,51,0,0,21440,8.05,-1,S,0
3,male,-1,0,0,349234,7.8958,-1,S,0
1,male,38,1,0,19943,90,C93,S,1
3,male,22,0,0,PP 4348,9.35,-1,S,0
2,male,19,0,0,SW/PP 751,10.5,-1,S,1
3,male,20.5,0,0,A/5 21173,7.25,-1,S,0
2,male,18,0,0,236171,13,-1,S,0
3,female,-1,3,1,4133,25.4667,-1,S,0
1,female,35,1,0,36973,83.475,C83,S,1
3,male,29,0,0,347067,7.775,-1,S,0
2,male,59,0,0,237442,13.5,-1,S,0
3,female,5,4,2,347077,31.3875,-1,S,1
2,male,24,0,0,C.A. 29566,10.5,-1,S,0
3,female,-1,0,0,W./C. 6609,7.55,-1,S,0
2,male,44,1,0,26707,26,-1,S,0
2,female,8,0,2,C.A. 31921,26.25,-1,S,1
2,male,19,0,0,28665,10.5,-1,S,0
2,male,33,0,0,SCO/W 1585,12.275,-1,S,0
3,female,-1,1,0,2665,14.4542,-1,C,0
3,female,-1,1,0,367230,15.5,-1,Q,1
2,male,29,0,0,W./C. 14263,10.5,-1,S,0
3,male,22,0,0,STON/O 2. 3101275,7.125,-1,S,0
3,male,30,0,0,2694,7.225,-1,C,0
1,male,44,2,0,19928,90,C78,Q,0
3,female,25,0,0,347071,7.775,-1,S,0
2,female,24,0,2,250649,14.5,-1,S,1
1,male,37,1,1,11751,52.5542,D35,S,1
2,male,54,1,0,244252,26,-1,S,0
3,male,-1,0,0,362316,7.25,-1,S,0
3,female,29,1,1,347054,10.4625,G6,S,0
1,male,62,0,0,113514,26.55,C87,S,0
3,male,30,1,0,A/5. 3336,16.1,-1,S,0
3,female,41,0,2,370129,20.2125,-1,S,0
3,female,29,0,2,2650,15.2458,-1,C,1
1,female,-1,0,0,PC 17585,79.2,-1,C,1
1,female,30,0,0,110152,86.5,B77,S,1
1,female,35,0,0,PC 17755,512.3292,-1,C,1
2,female,50,0,1,230433,26,-1,S,1
3,male,-1,0,0,384461,7.75,-1,Q,0
3,male,3,4,2,347077,31.3875,-1,S,1
1,male,52,1,1,110413,79.65,E67,S,0
1,male,40,0,0,112059,0,B94,S,0
3,female,-1,0,0,382649,7.75,-1,Q,0
2,male,36,0,0,C.A. 17248,10.5,-1,S,0
3,male,16,4,1,3101295,39.6875,-1,S,0
3,male,25,1,0,347083,7.775,-1,S,1
1,female,58,0,1,PC 17582,153.4625,C125,S,1
1,female,35,0,0,PC 17760,135.6333,C99,S,1
1,male,-1,0,0,113798,31,-1,S,0
2,female,41,0,1,250644,19.5,-1,S,1
1,male,37,0,1,PC 17596,29.7,C118,C,0
3,female,-1,0,0,370375,7.75,-1,Q,1
1,female,63,1,0,13502,77.9583,D7,S,1
3,female,45,0,0,347073,7.75,-1,S,0
3,male,7,4,1,382652,29.125,-1,Q,0
3,female,35,1,1,C.A. 2673,20.25,-1,S,1
3,male,65,0,0,336439,7.75,-1,Q,0
3,male,28,0,0,347464,7.8542,-1,S,0
3,male,16,0,0,345778,9.5,-1,S,0
3,male,19,0,0,A/5. 10482,8.05,-1,S,1
1,male,-1,0,0,113056,26,A19,S,0
3,male,33,0,0,349239,8.6625,-1,C,0
3,male,30,0,0,345774,9.5,-1,S,1
3,male,22,0,0,349206,7.8958,-1,S,0
2,male,42,0,0,237798,13,-1,S,1
3,female,22,0,0,370373,7.75,-1,Q,1
1,female,26,0,0,19877,78.85,-1,S,1
1,female,19,1,0,11967,91.0792,B49,C,1
2,male,36,0,0,SC/Paris 2163,12.875,D,C,0
3,female,24,0,0,349236,8.85,-1,S,0
3,male,24,0,0,349233,7.8958,-1,S,0
1,male,-1,0,0,PC 17612,27.7208,-1,C,0
3,male,23.5,0,0,2693,7.2292,-1,C,0
1,female,2,1,2,113781,151.55,C22 C26,S,0
1,male,-1,0,0,19988,30.5,C106,S,1
1,female,50,0,1,PC 17558,247.5208,B58 B60,C,1
3,female,-1,0,0,9234,7.75,-1,Q,1
3,male,-1,2,0,367226,23.25,-1,Q,1
2,female,-1,0,0,226593,12.35,E101,Q,1
3,male,-1,0,0,A/5 2466,8.05,-1,S,0
1,male,0.92,1,2,113781,151.55,C22 C26,S,1
1,female,-1,0,0,17421,110.8833,-1,C,1
1,female,17,1,0,PC 17758,108.9,C65,C,1
2,male,30,1,0,P/PP 3381,24,-1,C,0
1,female,30,0,0,PC 17485,56.9292,E36,C,1
1,female,24,0,0,11767,83.1583,C54,C,1
1,female,18,2,2,PC 17608,262.375,B57 B59 B63 B66,C,1
2,female,26,1,1,250651,26,-1,S,0
3,male,28,0,0,349243,7.8958,-1,S,0
2,male,43,1,1,F.C.C. 13529,26.25,-1,S,0
3,female,26,0,0,347470,7.8542,-1,S,1
2,female,24,1,0,244367,26,-1,S,1
2,male,54,0,0,29011,14,-1,S,0
1,female,31,0,2,36928,164.8667,C7,S,1
1,female,40,1,1,16966,134.5,E34,C,1
3,male,22,0,0,A/5 21172,7.25,-1,S,0
3,male,27,0,0,349219,7.8958,-1,S,0
2,female,30,0,0,234818,12.35,-1,Q,1
2,female,22,1,1,248738,29,-1,S,1
3,male,-1,8,2,CA. 2343,69.55,-1,S,0
1,female,36,0,0,PC 17760,135.6333,C32,C,1
3,male,61,0,0,345364,6.2375,-1,S,0
2,female,36,0,0,28551,13,D,S,1
3,female,31,1,1,363291,20.525,-1,S,1
1,female,16,0,1,111361,57.9792,B18,C,1
3,female,-1,2,0,367226,23.25,-1,Q,1
1,male,45.5,0,0,113043,28.5,C124,S,0
1,male,38,0,1,PC 17582,153.4625,C91,S,0
3,male,16,2,0,345764,18,-1,S,0
1,female,-1,1,0,PC 17611,133.65,-1,S,1
3,male,-1,0,0,349225,7.8958,-1,S,0
1,male,29,1,0,113776,66.6,C2,S,0
1,female,41,0,0,16966,134.5,E40,C,1
3,male,45,0,0,7598,8.05,-1,S,1
1,male,45,0,0,113784,35.5,T,S,0
2,male,2,1,1,230080,26,F2,S,1
1,female,24,3,2,19950,263,C23 C25 C27,S,1
2,male,28,0,0,248740,13,-1,S,0
2,male,25,0,0,244361,13,-1,S,0
2,male,36,0,0,229236,13,-1,S,0
2,female,24,0,0,248733,13,F33,S,1
2,female,40,0,0,31418,13,-1,S,1
3,female,-1,1,0,386525,16.1,-1,S,1
3,male,3,1,1,C.A. 37671,15.9,-1,S,1
3,male,42,0,0,315088,8.6625,-1,S,0
3,male,23,0,0,7267,9.225,-1,S,0
1,male,-1,0,0,113510,35,C128,S,0
3,male,15,1,1,2695,7.2292,-1,C,0
3,male,25,1,0,349237,17.8,-1,S,0
3,male,-1,0,0,2647,7.225,-1,C,0
3,male,28,0,0,345783,9.5,-1,S,0
1,female,22,0,1,113505,55,E33,S,1
2,female,38,0,0,237671,13,-1,S,0
3,female,-1,0,0,330931,7.8792,-1,Q,1
3,female,-1,0,0,330980,7.8792,-1,Q,1
3,male,40,1,4,347088,27.9,-1,S,0
2,male,29,1,0,SC/PARIS 2167,27.7208,-1,C,0
3,female,45,0,1,2691,14.4542,-1,C,0
3,male,35,0,0,SOTON/O.Q. 3101310,7.05,-1,S,0
3,male,-1,1,0,370365,15.5,-1,Q,0
3,male,30,0,0,C 7076,7.25,-1,S,0
1,female,60,1,0,110813,75.25,D37,C,1
3,female,-1,0,0,2626,7.2292,-1,C,1
3,female,-1,0,0,14313,7.75,-1,Q,1
1,female,24,0,0,PC 17477,69.3,B35,C,1
1,male,25,1,0,11765,55.4417,E50,C,1
3,male,18,1,0,3101267,6.4958,-1,S,0
3,male,19,0,0,323951,8.05,-1,S,0
1,male,22,0,0,PC 17760,135.6333,-1,C,0
3,female,3,3,1,349909,21.075,-1,S,0
1,female,-1,1,0,PC 17604,82.1708,-1,C,1
3,female,22,0,0,C 7077,7.25,-1,S,1
1,male,27,0,2,113503,211.5,C82,C,0
3,male,20,0,0,2648,4.0125,-1,C,0
3,male,19,0,0,347069,7.775,-1,S,0
1,female,42,0,0,PC 17757,227.525,-1,C,1
3,female,1,0,2,2653,15.7417,-1,C,1
3,male,32,0,0,STON/O 2. 3101293,7.925,-1,S,0
1,female,35,1,0,113789,52,-1,S,1
3,male,-1,0,0,349227,7.8958,-1,S,0
2,male,18,0,0,S.O.C. 14879,73.5,-1,S,0
3,male,1,5,2,CA 2144,46.9,-1,S,0
2,female,36,0,0,27849,13,-1,S,1
3,male,-1,0,0,367655,7.7292,-1,Q,0
2,female,17,0,0,SC 1748,12,-1,C,1
1,male,36,1,2,113760,120,B96 B98,S,1
3,male,21,0,0,350034,7.7958,-1,S,1
3,male,28,2,0,3101277,7.925,-1,S,0
1,female,23,1,0,35273,113.275,D36,C,1
3,female,24,0,2,PP 9549,16.7,G6,S,1
3,male,22,0,0,350052,7.7958,-1,S,0
3,female,31,0,0,350407,7.8542,-1,S,0
2,male,46,0,0,28403,26,-1,S,0
2,male,23,0,0,244278,10.5,-1,S,0
